NEW GOR secondary structure tables
GAVLISTDENQKHRFYWCMP
'NEW alpha'
  16   0 -11 -19 -47 -58 -42 -65 -78 -85 -53 -23 -37 -28 -24 -11  -4
  -7   7 -15   3   3 -15 -32 -78-160-133 -74 -24   7  26  29  37  11
   0  27   0  18 -15  -5 -39 -46 -54 -46 -10 -10 -27 -27   0  14  27
  -8 -30 -30  -8 -40 -43 -55 -74 -55 -74 -51  -8   8  13  20   3  10
   0 -34   7  26  35  13  13 -15 -32 -63 -32 -15 -32  26 -25  -8 -25
  21   6  11 -24 -12 -18  -6  -6 -18 -47   5  20  21   0 -12 -26 -26
 -84 -44 -51  -9 -37   0  21  49  55  54   8  -9 -51 -75 -75 -51 -54
   9  22  18  22   9  17  13  42  70  62  45  57  25  29  -5 -15 -15
  33  33  12  12  42  12 -28 -28  66  66  33 -66 -66 -46 -28 -46   0
 -91 -51 -97 -58 -82 -29 -29  38  38  12 -29 -48-135-135 -58  29  13
 -57 -12 -40 -25 -78 -12 -25  21  46  30  46  60 -12 -57-104-104 -12
  18  34   4   8  14 -58-104-299-299 -78 -12   0  27  38  35  14  -8
